Bronx 421A Exempt Properties as of FINAL Roll FY'16/17,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 16/17,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4921,161,C0,3630 PALMER AVENUE                       ,10466,3,0,3,2788,3195,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4921,162,C0,3632 PALMER AVENUE                       ,10466,3,0,3,2272,3352,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4921,163,C0,3636 PALMER AVENUE                       ,10466,3,0,3,2272,3352,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4921,164,C0,3638 PALMER AVENUE                       ,10466,3,0,3,2712,3093,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4922,135,C0,3603 PRATT AVENUE                        ,10466,3,0,3,3756,3792,1997
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4922,136,C0,3601 PRATT AVENUE                        ,10466,3,0,3,3726,3792,1997
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4958,12,C0,3920 MURDOCK AVENUE                      ,10466,3,0,3,2889,2530,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4968,50,C0,3950 SECOR AVENUE                        ,10466,3,0,3,2801,3170,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4968,52,C0,3952 SECOR AVENUE                        ,10466,3,0,3,2725,3987,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4982,89,C0,4005A DE REIMER AVENUE                   ,10466,3,0,3,2446,3382,2001
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4982,90,C0,4005 DE REIMER AVENUE                    ,10466,3,0,3,2209,3138,2001
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4982,91,C0,4003 DE REIMER AVENUE                    ,10466,3,0,3,2209,3138,2001
2,BAYCHESTER               ,03  3-FAMILY                                ,1,4982,92,C0,4001 DE REIMER AVENUE                    ,10466,3,0,3,2636,3382,2001
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,118,C0,3339 DE REIMER AVENUE                    ,10475,3,0,3,2850,3060,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,119,C0,3337 DE REIMER AVENUE                    ,10475,3,0,3,1987,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,120,C0,3335 DE REIMER AVENUE                    ,10475,3,0,3,1980,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,121,C0,3333 DE REIMER AVENUE                    ,10475,3,0,3,1980,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,122,C0,3331 DE REIMER AVENUE                    ,10475,3,0,3,1980,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,123,C0,3329 DE REIMER AVENUE                    ,10475,3,0,3,1980,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,124,C0,3327 DE REIMER AVENUE                    ,10475,3,0,3,1980,3010,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,125,C0,3325 DE REIMER AVENUE                    ,10475,3,0,3,2850,3060,2003
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5226,135,C0,3320 BAYCHESTER AVENUE                   ,10475,3,0,3,5066,3900,2001
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,129,C0,3302 DE REIMER AVENUE                    ,10475,3,0,3,2983,3094,2006
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,130,C0,3304 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2006
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,131,C0,3306 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2006
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,132,C0,3308 DE REIMER AVENUE                    ,10475,3,0,3,2783,3094,2006
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,133,C0,3314 DE REIMER AVENUE                    ,10475,3,0,3,2784,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,134,C0,3316 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,135,C0,3318 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,136,C0,3320 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,137,C0,3322 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,138,C0,3324 DE REIMER AVENUE                    ,10475,3,0,3,1950,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5227,139,C0,3326 DE REIMER AVENUE                    ,10475,3,0,3,2800,3094,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5232,20,C0,2015 NEW ENGLAND THRUWAY                 ,10475,3,0,3,3496,3300,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5232,21,C0,2013 NEW ENGLAND THRUWAY                 ,10475,3,0,3,2266,3249,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5232,22,C0,2011 NEW ENGLAND THRUWAY                 ,10475,3,0,3,6300,3300,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,176,C0,2182 REEDS MILL LANE                     ,10475,3,0,3,1687,2667,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,177,C0,2184 REEDS MILL LANE                     ,10475,3,0,3,2058,3302,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,178,C0,2186 REEDS MILL LANE                     ,10475,3,0,3,2118,3302,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,179,C0,2188 REEDS MILL LANE                     ,10475,3,0,3,3158,3302,2005
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,182,C0,2189 NEW ENGLAND THRUWAY                 ,10475,3,0,3,4000,3618,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,183,C0,2187 NEW ENGLAND THRUWAY                 ,10475,3,0,3,3700,3618,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,184,C0,2185 NEW ENGLAND THRUWAY                 ,10475,3,0,3,3524,3618,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5263,185,C0,2183 NEW ENGLAND THRUWAY                 ,10475,3,0,3,3645,3180,2004
2,BAYCHESTER               ,03  3-FAMILY                                ,1,5655,137,C0,3529 MC OWEN AVENUE                      ,10475,3,0,3,5000,3113,2006
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1001,R3,2895 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1002,R3,2895 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1003,R3,2895 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1004,R3,2891 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1005,R3,2891 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1006,R3,2891 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1007,R3,2877 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1008,R3,2877 ELY AVENUE                          ,10469,1,0,1,0,0,2008
2,BAYCHESTER               ,04  CONDOMINIUMS                            ,1A,4795,1009,R3,2877 ELY AVENUE                          ,10469,1,0,1,0,0,2008
