Queens 421A Exempt Properties as of FINAL Roll FY'13/14,,,,,,,,,,,,,,
Neighborhood Name and Descriptive Data is as of Final 13/14,,,,,,,,,,,,,,
"Unit information first from RPAD, if missing then from VISION.",,,,,,,,,,,,,,
Building Class Category is based on Building Class as of Final 13/14,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE, RESIDENTIAL UNITS , COMMERCIAL UNITS , TOTAL UNITS , LAND SQUARE FEET , GROSS SQUARE FEET ,YEAR BUILT
4,ASTORIA                  ,03  3-FAMILY                                ,1,596,64,C0,26-44 29 STREET                          ,11102, 3 , -   , 3 ," 2,205 "," 4,043 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,596,65,C0,26-46 29 STREET                          ,11102, 3 , -   , 3 ," 2,592 "," 4,133 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,597,86,C0,26-31 29 STREET                          ,11102, 3 , -   , 3 ," 1,575 "," 3,678 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,620,57,C0,25-49 32 STREET                          ,11102, 3 , -   , 3 ," 2,921 "," 4,750 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,651,133,C0,30-31 36 STREET                          ,11103, 3 , -   , 3 ," 2,000 "," 2,700 ",1925
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,26,C0,28-14 41 STREET                          ,11103, 3 , -   , 3 ," 2,015 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,27,C0,28-18 41 STREET                          ,11103, 3 , -   , 3 ," 2,011 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,126,C0,28-16 41 STREET                          ,11103, 3 , -   , 3 ," 2,013 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,127,C0,28-20 41 STREET                          ,11103, 3 , -   , 3 ," 2,010 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,663,128,C0,28-22 41 AVENUE                          ,11101, 3 , -   , 3 ," 2,008 "," 3,640 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,709,50,C0,31-72 45 STREET                          ,11103, 3 , -   , 3 ," 2,500 "," 5,906 ",2008
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,23,C0,25-51 44 STREET                          ,11103, 3 , -   , 3 ," 3,067 "," 3,100 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,53,C0,25-24 45 STREET                          ,11103, 3 , -   , 3 ," 2,375 "," 1,604 ",1955
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,69,C0,25-64 45 STREET                          ,11103, 3 , -   , 3 ," 2,425 "," 4,100 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,70,C0,25-66 45 STREET                          ,11103, 3 , -   , 3 ," 2,450 "," 4,100 ",1998
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,124,C0,25-49 44 STREET                          ,11103, 3 , -   , 3 ," 2,200 "," 3,100 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,715,125,C0,25-47 44 STREET                          ,11103, 3 , -   , 3 ," 2,233 "," 3,100 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,742,22,C0,49-02 28 AVENUE                          ,11377, 3 , -   , 3 ," 2,501 "," 6,000 ",2000
4,ASTORIA                  ,03  3-FAMILY                                ,1,742,23,C0,49-04 28 AVENUE                          ,11377, 3 , -   , 3 ," 2,001 "," 5,816 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,742,24,C0,49-06 28 AVENUE                          ,11377, 3 , -   , 3 ," 2,001 "," 5,816 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,742,25,C0,49-08 28 AVENUE                          ,11377, 3 , -   , 3 ," 2,499 "," 5,816 ",2001
4,ASTORIA                  ,03  3-FAMILY                                ,1,758,29,C0,48-14 DITMARS BOULEVARD                  ,11105, 3 , -   , 3 ," 2,200 "," 3,122 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,781,47,C0,42-16 23 AVENUE                          ,11105, 3 , -   , 3 ," 1,445 "," 2,671 ",2007
4,ASTORIA                  ,03  3-FAMILY                                ,1,781,49,C0,42-20 23 AVENUE                          ,11105, 3 , -   , 3 ," 2,528 "," 3,610 ",2007
4,ASTORIA                  ,03  3-FAMILY                                ,1,781,146,C0,42-14 23 AVENUE                          ,11105, 3 , -   , 3 ," 1,794 "," 2,668 ",2007
4,ASTORIA                  ,03  3-FAMILY                                ,1,784,21,C0,21-31 43 STREET                          ,11105, 3 , -   , 3 ," 2,500 "," 3,672 ",2008
4,ASTORIA                  ,03  3-FAMILY                                ,1,787,14,C0,20-47 20 ROAD                            ,11105, 3 , -   , 3 ," 2,055 "," 3,600 ",1910
4,ASTORIA                  ,03  3-FAMILY                                ,1,787,64,C0,42-08 20 ROAD                            ,11105, 3 , -   , 3 ," 2,665 "," 3,234 ",2006
4,ASTORIA                  ,03  3-FAMILY                                ,1,803,13,C0,23-73 38 STREET                          ,11105, 3 , -   , 3 ," 2,233 "," 3,349 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,803,14,C0,23-71 38 STREET                          ,11105, 3 , -   , 3 ," 2,233 "," 3,349 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,803,114,C0,23-69 38 STREET                          ,11105, 3 , -   , 3 ," 3,034 "," 3,762 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,804,31,C0,23-12 38 STREET                          ,11105, 3 , -   , 3 ," 2,525 "," 3,068 ",2004
4,ASTORIA                  ,03  3-FAMILY                                ,1,805,137,C0,22-14 STEINWAY STREET                    ,11105, 3 , -   , 3 ," 1,983 "," 3,364 ",2005
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,24,C0,20-21 38 STREET                          ,11105, 3 , -   , 3 ," 2,750 "," 2,892 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,28,C0,20-13 38 STREET                          ,11105, 3 , -   , 3 ," 1,950 "," 2,814 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,30,C0,20-03 38 STREET                          ,11105, 3 , -   , 3 ," 2,438 "," 2,907 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,125,C0,20-19 38 STREET                          ,11105, 3 , -   , 3 ," 1,950 "," 2,814 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,126,C0,20-17 38 STREET                          ,11105, 3 , -   , 3 ," 1,950 "," 2,814 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,127,C0,20-15 38 STREET                          ,11105, 3 , -   , 3 ," 1,950 "," 2,814 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,128,C0,20-11 38 STREET                          ,11105, 3 , -   , 3 ," 1,950 "," 2,814 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,138,C0,20-09 38 STREET                          ,11105, 3 , -   , 3 ," 1,688 "," 2,838 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,148,C0,20-07 38 STREET                          ,11105, 3 , -   , 3 ," 1,688 "," 2,838 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,809,158,C0,20-05 38 STREET                          ,11105, 3 , -   , 3 ," 1,688 "," 2,838 ",1999
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,33,C0,37-16 20 AVENUE                          ,11105, 3 , -   , 3 ," 2,110 "," 3,673 ",2002
4,ASTORIA                  ,03  3-FAMILY                                ,1,810,34,C0,37-18 20 AVENUE                          ,11105, 3 , -   , 3 ," 1,517 "," 3,673 ",2002
