Borough,lon,lat
Manhattan,-73.98844,40.765967
Manhattan,-73.9897294,40.7669349
Manhattan,-73.9896277,40.7668859
Manhattan,-73.9874998,40.7693647
Manhattan,-73.9937647,40.7632805
Manhattan,-73.994225,40.764641
Manhattan,-73.9945158,40.76438160000001
Manhattan,-73.99098769999999,40.76661319999999
Manhattan,-73.9938117,40.7586226
Manhattan,-73.9963692,40.7623487
Manhattan,-73.99182739999999,40.7660382
Manhattan,-73.9907047,40.76648230000001
Manhattan,-73.9923228,40.7676753
Manhattan,-73.9915642,40.7677253
Manhattan,-73.9916227,40.76789220000001
Manhattan,-73.998548,40.7605148
Manhattan,-73.998989,40.7604232
Manhattan,-73.99207369999999,40.7637898
Manhattan,-73.9970589,40.7600348
Manhattan,-73.9885288,40.76640159999999
Manhattan,-73.9928552,40.7679804
Manhattan,-73.9915173,40.7678486
Manhattan,-73.9921748,40.7674843
Manhattan,-73.9928199,40.7683877
Manhattan,-73.9915864,40.7671734
Manhattan,-73.9922952,40.7242749
Manhattan,-73.9919574,40.7248264
Manhattan,-73.991051,40.7242988
Manhattan,-73.981605,40.730308
Manhattan,-73.98185819999999,40.7303438
Manhattan,-73.9890319,40.7238214
Manhattan,-73.9853136,40.730135
Manhattan,-73.991114,40.72665
Manhattan,-73.9869729,40.7329664
Manhattan,-73.986599,40.7327809
Manhattan,-73.9868224,40.7324272
Manhattan,-73.98364769999999,40.7282467
Manhattan,-73.9911924,40.7242098
Manhattan,-73.98544509999999,40.7266695
Manhattan,-73.98682099999999,40.7328875
Manhattan,-73.997697,40.75090600000001
Manhattan,-73.9942713,40.7550117
Manhattan,-73.9930382,40.7550882
Manhattan,-73.99289399999999,40.755456
Manhattan,-73.9868113,40.748782
Manhattan,-73.9940814,40.7559213
Manhattan,-73.9914392,40.7482538
Manhattan,-73.9837962,40.7502027
Manhattan,-73.9902168,40.7468785
Manhattan,-73.990279,40.74863
Manhattan,-73.9890844,40.7483602
Manhattan,-73.98664099999999,40.747098
Manhattan,-73.9855735,40.7520205
Manhattan,-74.00820999999999,40.707344
Manhattan,-74.0065879,40.7071929
Manhattan,-74.006962,40.7073585
Manhattan,-74.0057203,40.7087286
Manhattan,-74.0117772,40.7060375
Manhattan,-74.01032889999999,40.7052066
Manhattan,-74.0137534,40.7092191
Manhattan,-74.0098162,40.7090565
Manhattan,-73.993779,40.7387555
Manhattan,-73.99354799999999,40.7390497
Manhattan,-73.992307,40.741255
Manhattan,-73.99177499999999,40.743723
Manhattan,-73.991439,40.7443156
Manhattan,-73.9906707,40.7453346
Manhattan,-73.9954308,40.7374543
Manhattan,-73.9947042,40.737495
Manhattan,-73.9927711,40.7398941
Manhattan,-73.9924462,40.7404629
Manhattan,-73.9925433,40.7404813
Manhattan,-73.9883437,40.7380436
Manhattan,-73.98817269999999,40.7403115
Manhattan,-73.9917577,40.7405855
Manhattan,-73.9842152,40.7394763
Manhattan,-73.9852669,40.736362
Manhattan,-73.9840801,40.7382684
Manhattan,-73.9838467,40.7397207
Manhattan,-73.9830708,40.74113970000001
Manhattan,-73.98742,40.736315
Manhattan,-73.9840018,40.7381239
Manhattan,-73.99180270000001,40.72740719999999
Manhattan,-73.990383,40.734157
Manhattan,-73.9927325,40.7261721
Manhattan,-73.987867,40.732897
